NC																				
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	LABELS	overall	endowments	coefficients	interaction	overall	endowments	coefficients	interaction	overall	endowments	coefficients	interaction	overall	endowments	coefficients	interaction	overall	explained	unexplained
																				
lnwagem12d	Ln Average Manager Wages in 2012						0.018	1.931	0.007		0.014	2.261	0.008		0.016	1.558	0.006		0.028	1.552
							(0.019)	(1.319)	(0.009)		(0.016)	(1.394)	(0.010)		(0.017)	(1.465)	(0.008)		(0.029)	(1.460)
edumanmin	Minimum education level of the manager, 1-8						0.002	-0.315	-0.003		0.001	-0.308	-0.003		0.000	-0.217	-0.002		-0.004	-0.215
							(0.004)	(0.485)	(0.005)		(0.005)	(0.505)	(0.006)		(0.005)	(0.517)	(0.006)		(0.008)	(0.512)
edumanav	Average education level of the manager, 1-8						0.004	0.056	0.001		0.005	-0.043	-0.001		0.003	0.013	0.000		0.004	0.013
							(0.006)	(0.270)	(0.007)		(0.007)	(0.277)	(0.008)		(0.007)	(0.283)	(0.008)		(0.010)	(0.275)
expsec	years of experience in the same sector						0.016	-0.074	-0.013		0.019	-0.123	-0.022		0.016	-0.114	-0.021		-0.025	-0.093
							(0.014)	(0.087)	(0.015)		(0.016)	(0.095)	(0.018)		(0.017)	(0.097)	(0.018)		(0.022)	(0.080)
lnage	Ln Age of the firm										0.003	0.121	0.006		0.002	0.137	0.007		0.016	0.130
											(0.011)	(0.248)	(0.012)		(0.011)	(0.252)	(0.012)		(0.016)	(0.240)
lnnworkers	Ln Number of employees										-0.022	0.216	0.035		-0.024	0.217	0.035		0.046	0.181
											(0.023)	(0.160)	(0.026)		(0.024)	(0.162)	(0.027)		(0.034)	(0.136)
fixas	The firm purchases fixed assets										-0.000	0.019	-0.001		-0.001	0.000	-0.000		-0.001	0.000
											(0.001)	(0.039)	(0.002)		(0.002)	(0.041)	(0.001)		(0.002)	(0.042)
shareh	shareholding company										0.015	-0.005	-0.002		0.010	0.007	0.003		0.016	0.004
											(0.014)	(0.037)	(0.015)		(0.014)	(0.038)	(0.015)		(0.019)	(0.023)
partner	Partnership including limited liability										-0.002	0.011	0.001		-0.002	0.011	0.001		0.001	0.010
											(0.003)	(0.020)	(0.003)		(0.003)	(0.020)	(0.003)		(0.003)	(0.018)
limpartner	Limited Partnership										-0.003	-0.001	0.000		-0.001	0.008	-0.001		-0.004	0.009
											(0.004)	(0.025)	(0.004)		(0.004)	(0.026)	(0.004)		(0.006)	(0.030)
multi	The establishment part of a larger firm										-0.002	0.004	0.001		-0.001	0.002	0.001		0.000	0.002
											(0.005)	(0.021)	(0.006)		(0.005)	(0.021)	(0.006)		(0.007)	(0.015)
foreign	Percentage of the firm owned by foreigners										0.009	-0.022	-0.007		0.009	-0.025	-0.008		-0.006	-0.017
											(0.007)	(0.020)	(0.007)		(0.008)	(0.021)	(0.008)		(0.009)	(0.016)
exporter	The firm exports										0.001	0.077**	-0.002		0.001	0.076**	-0.003		-0.004	0.078**
											(0.004)	(0.035)	(0.007)		(0.004)	(0.035)	(0.007)		(0.011)	(0.038)
web	The firm uses its own website										0.002	-0.050	-0.002		0.002	-0.045	-0.001		-0.001	-0.044
											(0.005)	(0.053)	(0.004)		(0.004)	(0.054)	(0.003)		(0.003)	(0.052)
techas	The firm benefits from any technical assistance programs										-0.001	0.019	0.002		-0.001	0.021	0.002		0.003	0.019
											(0.002)	(0.023)	(0.003)		(0.003)	(0.023)	(0.003)		(0.005)	(0.022)
innovd	Innovation department										0.014	-0.029	-0.009		0.014	-0.030	-0.009		-0.004	-0.020
											(0.011)	(0.020)	(0.008)		(0.011)	(0.021)	(0.009)		(0.008)	(0.017)
innovp	Innovation introduced										-0.008	0.009	0.003		-0.008	0.011	0.004		-0.001	0.007
											(0.009)	(0.027)	(0.010)		(0.010)	(0.028)	(0.010)		(0.012)	(0.018)
skills	Inadequately educated workforce														0.003	-0.054	-0.002		-0.001	-0.053
															(0.004)	(0.086)	(0.003)		(0.004)	(0.083)
permits	Business licencing and permits														0.001	0.016	0.002		0.005	0.014
															(0.006)	(0.053)	(0.006)		(0.009)	(0.047)
accesfinance	Access to finance														0.001	-0.080	0.003		0.006	-0.083
															(0.003)	(0.088)	(0.004)		(0.008)	(0.091)
macroenv	Macroeconomic environment														0.002	0.028	-0.001		-0.001	0.029
															(0.004)	(0.073)	(0.004)		(0.005)	(0.076)
corruption	Corruption														-0.006	-0.145*	0.009		0.013	-0.154*
															(0.006)	(0.080)	(0.008)		(0.011)	(0.086)
crime	Crime, theft and disorder														-0.000	-0.068	0.001		0.002	-0.070
															(0.002)	(0.088)	(0.003)		(0.005)	(0.089)
tel	Telecomunications														-0.001	-0.011	0.000		-0.000	-0.011
															(0.003)	(0.068)	(0.001)		(0.002)	(0.069)
elec	Electricity														-0.001	0.022	0.000		-0.000	0.022
															(0.003)	(0.081)	(0.001)		(0.001)	(0.080)
trans	Transportation														-0.000	0.043	0.001		0.001	0.042
															(0.002)	(0.057)	(0.003)		(0.003)	(0.056)
land	Access to land														-0.003	0.032	0.004		0.005	0.028
															(0.005)	(0.045)	(0.006)		(0.008)	(0.039)
policy	Political environment														0.012	0.104	-0.013		-0.013	0.117
															(0.009)	(0.071)	(0.010)		(0.012)	(0.080)
taxrates	Tax rates														-0.003	0.140	0.004		0.005	0.136
															(0.005)	(0.086)	(0.006)		(0.008)	(0.084)
taxadmin	Tax administration														-0.001	-0.075	-0.003		-0.007	-0.071
															(0.003)	(0.078)	(0.005)		(0.009)	(0.074)
customs	Customs and trade regulations														0.003	-0.135*	-0.003		-0.004	-0.131*
															(0.005)	(0.076)	(0.006)		(0.007)	(0.074)
labour	Labour regulations														-0.008	0.143**	0.012		0.017	0.131**
															(0.007)	(0.064)	(0.009)		(0.012)	(0.060)
_ISECTOR_15	SECTOR==15		0.000	0.008	0.000		-0.001	-0.021	0.000		-0.001	-0.031	0.001		-0.001	-0.021	0.001		0.001	-0.022
			(0.003)	(0.025)	(0.001)		(0.005)	(0.025)	(0.004)		(0.006)	(0.027)	(0.005)		(0.004)	(0.027)	(0.004)		(0.004)	(0.029)
_ISECTOR_17	SECTOR==17		0.001	0.002	-0.000		0.002	0.002	-0.001		0.001	0.001	-0.001		0.001	0.002	-0.001		-0.000	0.002
			(0.005)	(0.003)	(0.003)		(0.004)	(0.003)	(0.003)		(0.003)	(0.003)	(0.002)		(0.003)	(0.003)	(0.002)		(0.002)	(0.005)
_ISECTOR_18	SECTOR==18		0.006	-0.001	0.000		0.002	-0.006	0.004		-0.001	-0.012	0.007		0.000	-0.009	0.006		0.012	-0.015
			(0.007)	(0.014)	(0.008)		(0.007)	(0.014)	(0.008)		(0.007)	(0.015)	(0.009)		(0.007)	(0.015)	(0.009)		(0.013)	(0.024)
_ISECTOR_24	SECTOR==24		-0.007	0.018*	0.017		-0.004	0.013	0.012		-0.002	0.009	0.008		-0.003	0.011	0.009		0.014	0.002
			(0.007)	(0.010)	(0.011)		(0.006)	(0.008)	(0.009)		(0.005)	(0.008)	(0.007)		(0.006)	(0.008)	(0.008)		(0.011)	(0.009)
_ISECTOR_25	SECTOR==25		0.003	-0.002	-0.002		0.004	-0.003	-0.003		0.004	-0.003	-0.003		0.002	-0.001	-0.002		-0.001	0.000
			(0.004)	(0.004)	(0.004)		(0.005)	(0.004)	(0.005)		(0.005)	(0.004)	(0.005)		(0.004)	(0.004)	(0.004)		(0.005)	(0.002)
_ISECTOR_26	SECTOR==26		-0.002	0.004	0.008		0.001	0.001	0.003		0.002	0.001	0.002		0.001	0.001	0.003		0.006	-0.001
			(0.009)	(0.006)	(0.010)		(0.009)	(0.005)	(0.010)		(0.009)	(0.005)	(0.010)		(0.010)	(0.005)	(0.010)		(0.012)	(0.005)
_ISECTOR_27	SECTOR==27		0.000	0.006	-0.001		0.000	0.002	-0.000		0.000	0.004	-0.001		0.001	0.005	-0.001		-0.001	0.006
			(0.002)	(0.008)	(0.003)		(0.001)	(0.008)	(0.002)		(0.002)	(0.008)	(0.002)		(0.002)	(0.009)	(0.003)		(0.003)	(0.011)
_ISECTOR_28	SECTOR==28		0.008	-0.000	-0.001		0.010	-0.001	-0.007		0.017	-0.002	-0.014		0.022	-0.002	-0.019		-0.016	0.017
			(0.018)	(0.002)	(0.018)		(0.018)	(0.002)	(0.018)		(0.019)	(0.003)	(0.020)		(0.020)	(0.003)	(0.021)		(0.021)	(0.019)
_ISECTOR_29	SECTOR==29		-0.001	0.006	0.003		-0.000	0.003	0.001		-0.001	0.003	0.001		-0.001	0.004	0.002		0.003	0.002
			(0.003)	(0.008)	(0.004)		(0.003)	(0.007)	(0.004)		(0.003)	(0.008)	(0.004)		(0.004)	(0.008)	(0.004)		(0.005)	(0.005)
_ISECTOR_31	SECTOR==31		-0.001	0.007	0.003		-0.001	0.005	0.002		-0.001	0.004	0.002		-0.001	0.004	0.002		0.003	0.003
