CONS																	
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	LABELS	overall	endowments	coefficients	interaction	overall	endowments	coefficients	interaction	overall	endowments	coefficients	interaction	overall	endowments	coefficients	interaction
																	
lnwagem12d	Ln Average Manager Wages in 2012						-0.059***	1.564	-0.016		-0.055***	1.459	-0.016		-0.050***	1.648	-0.018
							(0.021)	(1.177)	(0.013)		(0.019)	(1.226)	(0.014)		(0.018)	(1.253)	(0.015)
edumanmin	Minimum education level of the manager, 1-8						-0.000	0.053	0.001		-0.002	0.020	0.000		-0.002	0.120	0.002
							(0.007)	(0.436)	(0.009)		(0.007)	(0.445)	(0.009)		(0.007)	(0.449)	(0.009)
edumanav	Average education level of the manager, 1-8						0.003	0.050	0.001		0.002	0.045	0.001		0.002	0.076	0.001
							(0.004)	(0.246)	(0.004)		(0.004)	(0.252)	(0.004)		(0.003)	(0.253)	(0.004)
expsec	years of experience in the same sector						0.000	0.028	0.000		-0.000	0.073	0.001		-0.000	0.066	0.000
							(0.001)	(0.077)	(0.001)		(0.001)	(0.083)	(0.002)		(0.001)	(0.084)	(0.002)
lnage	Ln Age of the firm										0.003	-0.458**	-0.003		0.003	-0.468**	-0.003
											(0.005)	(0.215)	(0.006)		(0.005)	(0.216)	(0.006)
lnnworkers	Ln Number of employees										-0.004	0.305**	0.011		-0.005	0.291**	0.010
											(0.005)	(0.147)	(0.008)		(0.005)	(0.148)	(0.008)
fixas	The firm purchases fixed assets										-0.002	0.000	-0.000		-0.001	0.005	-0.000
											(0.002)	(0.035)	(0.002)		(0.002)	(0.035)	(0.002)
shareh	shareholding company										0.006	-0.044	-0.004		0.006	-0.049	-0.004
											(0.006)	(0.039)	(0.004)		(0.006)	(0.040)	(0.005)
partner	Partnership including limited liability										0.001	-0.028	-0.002		0.001	-0.030	-0.002
											(0.002)	(0.018)	(0.004)		(0.002)	(0.018)	(0.004)
limpartner	Limited Partnership										-0.002	-0.013	0.001		-0.002	-0.013	0.001
											(0.003)	(0.021)	(0.002)		(0.003)	(0.021)	(0.002)
multi	The establishment part of a larger firm										-0.001	-0.022	0.002		-0.001	-0.018	0.001
											(0.002)	(0.022)	(0.003)		(0.002)	(0.022)	(0.003)
foreign	Percentage of the firm owned by foreigners										-0.000	-0.007	0.000		-0.000	-0.002	0.000
											(0.002)	(0.021)	(0.001)		(0.001)	(0.021)	(0.001)
exporter	The firm exports										-0.001	0.014	-0.001		-0.001	0.010	-0.001
											(0.003)	(0.031)	(0.003)		(0.003)	(0.031)	(0.003)
manuf	Manufacturing activities										-0.022	-0.095	-0.011		-0.022	0.127	0.015
											(0.017)	(0.090)	(0.012)		(0.017)	(0.096)	(0.015)
retail	Retail activities										0.020	0.011	-0.002		0.020	0.208***	-0.033
											(0.013)	(0.066)	(0.011)		(0.013)	(0.074)	(0.020)
web	The firm uses its own website										-0.002	0.043	-0.005		-0.003	0.029	-0.003
											(0.004)	(0.050)	(0.006)		(0.005)	(0.050)	(0.006)
techas	The firm benefits from any technical assistance programs										0.004	-0.017	-0.004		0.003	-0.010	-0.002
											(0.004)	(0.018)	(0.005)		(0.004)	(0.018)	(0.004)
innovd	Innovation department										0.004	-0.005	-0.001		0.004	-0.001	-0.000
											(0.005)	(0.018)	(0.003)		(0.005)	(0.018)	(0.003)
innovp	Innovation introduced										-0.000	-0.007	-0.000		-0.000	-0.004	-0.000
											(0.002)	(0.029)	(0.001)		(0.002)	(0.029)	(0.000)
skills	Inadequately educated workforce														-0.003	-0.057	0.002
															(0.003)	(0.074)	(0.003)
permits	Business licencing and permits														0.001	-0.003	-0.000
															(0.002)	(0.050)	(0.002)
accesfinance	Access to finance														-0.001	-0.008	-0.000
															(0.002)	(0.074)	(0.001)
macroenv	Macroeconomic environment														-0.002	0.053	0.003
															(0.003)	(0.059)	(0.004)
corruption	Corruption														-0.001	-0.100	0.002
															(0.002)	(0.064)	(0.004)
crime	Crime, theft and disorder														0.001	0.010	-0.000
															(0.003)	(0.075)	(0.003)
tel	Telecomunications														-0.006	-0.127**	0.006
															(0.006)	(0.061)	(0.007)
elec	Electricity														0.002	0.031	-0.001
															(0.003)	(0.071)	(0.002)
trans	Transportation														-0.000	-0.025	0.001
															(0.001)	(0.049)	(0.002)
land	Access to land														-0.000	-0.008	0.000
															(0.001)	(0.042)	(0.001)
policy	Political environment														0.001	-0.029	0.001
															(0.002)	(0.058)	(0.003)
taxrates	Tax rates														0.000	0.087	-0.000
															(0.002)	(0.075)	(0.003)
taxadmin	Tax administration														0.003	-0.027	0.001
															(0.004)	(0.072)	(0.004)
customs	Customs and trade regulations														-0.005	-0.128*	0.007
															(0.004)	(0.067)	(0.006)
labour	Labour regulations														0.000	0.035	0.000
															(0.001)	(0.056)	(0.002)
_ISECTOR_15	SECTOR==15		-0.001	0.033	-0.007		0.000	0.015	-0.004		0.001	0.011	-0.003		0.000	0.010	-0.003
			(0.004)	(0.025)	(0.007)		(0.005)	(0.025)	(0.007)		(0.006)	(0.026)	(0.007)		(0.006)	(0.026)	(0.007)
_ISECTOR_17	SECTOR==17		0.002	0.004	-0.002		0.003	0.002	-0.001		0.002	0.000	-0.000		0.002	0.000	-0.000
			(0.004)	(0.004)	(0.003)		(0.003)	(0.003)	(0.003)		(0.003)	(0.003)	(0.002)		(0.003)	(0.003)	(0.002)
_ISECTOR_18	SECTOR==18		0.002	0.001	-0.000		0.001	0.002	-0.000		0.001	-0.001	0.000		0.001	-0.003	0.001
			(0.003)	(0.008)	(0.002)		(0.002)	(0.008)	(0.002)		(0.002)	(0.008)	(0.002)		(0.002)	(0.008)	(0.002)
_ISECTOR_24	SECTOR==24		0.000	0.013	0.000		0.001	0.010	0.001		0.000	0.012	0.002		0.000	0.012	0.002
			(0.002)	(0.009)	(0.004)		(0.002)	(0.008)	(0.003)		(0.001)	(0.008)	(0.004)		(0.001)	(0.008)	(0.004)
_ISECTOR_25	SECTOR==25		0.002	0.000	0.000		0.001	0.001	0.001		0.000	0.001	0.001		-0.000	0.001	0.002
			(0.004)	(0.003)	(0.004)		(0.004)	(0.003)	(0.004)		(0.004)	(0.003)	(0.005)		(0.004)	(0.003)	(0.005)
_ISECTOR_26	SECTOR==26		0.002	0.003	0.002		0.003	0.000	0.000		0.002	0.001	0.001		0.001	0.002	0.001
			(0.004)	(0.006)	(0.005)		(0.004)	(0.006)	(0.005)		(0.004)	(0.006)	(0.005)		(0.004)	(0.006)	(0.005)
_ISECTOR_27	SECTOR==27		0.006	-0.003	-0.005		0.006	-0.004	-0.006		0.005	-0.004	-0.006		0.005	-0.004	-0.006
			(0.006)	(0.004)	(0.006)		(0.006)	(0.004)	(0.006)		(0.006)	(0.004)	(0.006)		(0.006)	(0.004)	(0.006)
_ISECTOR_28	SECTOR==28		0.000	-0.001	-0.000		0.000	-0.001	-0.000		0.000	-0.001	-0.000		0.000	-0.001	-0.000
			(0.003)	(0.007)	(0.000)		(0.002)	(0.006)	(0.000)		(0.002)	(0.007)	(0.001)		(0.002)	(0.007)	(0.001)
_ISECTOR_29	SECTOR==29		-0.005	0.007	0.009		-0.005	0.007	0.008		-0.005	0.006	0.007		-0.005	0.007	0.008
			(0.006)	(0.006)	(0.007)		(0.006)	(0.006)	(0.007)		(0.006)	(0.006)	(0.007)		(0.006)	(0.006)	(0.007)
_ISECTOR_31	SECTOR==31		0.000	0.003	0.001		0.000	0.002	0.001		-0.000	0.001	0.001		0.000	0.001	0.001
			(0.002)	(0.004)	(0.002)		(0.002)	(0.004)	(0.002)		(0.002)	(0.004)	(0.002)		(0.002)	(0.004)	(0.002)
_ISECTOR_45	SECTOR==45		0.003	-0.004	-0.001		0.002	-0.009	-0.002		-0.005	-0.033*	-0.007		-0.005	0.016	0.003
			(0.004)	(0.015)	(0.004)		(0.003)	(0.015)	(0.004)		(0.006)	(0.019)	(0.007)		(0.006)	(0.020)	(0.005)
_ISECTOR_50	SECTOR==50		0.003	0.013	0.002		0.003	0.013	0.002		0.000	0.000	0.000		0.000	0.025***	0.005
			(0.006)	(0.010)	(0.004)		(0.005)	(0.010)	(0.004)		(0.000)	(0.000)	(0.000)		(0.000)	(0.009)	(0.007)
_ISECTOR_51	SECTOR==51		-0.000	0.012	-0.000		0.000	0.017	0.000		-0.001	-0.003	-0.000		-0.001	0.031*	0.001
			(0.003)	(0.013)	(0.003)		(0.002)	(0.013)	(0.004)		(0.004)	(0.015)	(0.001)		(0.004)	(0.016)	(0.007)
_ISECTOR_52	SECTOR==52		-0.005	0.123**	-0.022*		-0.004	0.108**	-0.018		0.000	0.000	0.000		0.000	0.000	0.000
			(0.008)	(0.051)	(0.013)		(0.007)	(0.051)	(0.012)		(0.000)	(0.000)	(0.000)		(0.000)	(0.000)	(0.000)
_ISECTOR_55	SECTOR==55		0.013	0.064	-0.014		0.014	0.056	-0.012		0.038**	-0.032	0.007		0.037*	0.117**	-0.025
			(0.009)	(0.041)	(0.010)		(0.009)	(0.040)	(0.010)		(0.019)	(0.052)	(0.011)		(0.019)	(0.058)	(0.016)
_ISECTOR_60	SECTOR==60		-0.001	0.024	0.006		-0.002	0.019	0.004		-0.011	-0.008	-0.002		-0.011	0.047**	0.010
			(0.003)	(0.016)	(0.006)		(0.004)	(0.016)	(0.005)		(0.010)	(0.020)	(0.005)		(0.010)	(0.023)	(0.010)
_ISECTOR_72	SECTOR==72		-0.000	0.002	0.002		0.000	0.002	0.002		-0.006	-0.003	-0.003		-0.007	0.007	0.007
			(0.004)	(0.005)	(0.005)		(0.004)	(0.005)	(0.005)		(0.006)	(0.005)	(0.005)		(0.006)	(0.005)	(0.006)
_Icountryc_2	countryc==2		0.000	0.009	0.000		-0.001	-0.006	-0.000		-0.000	-0.009	-0.000		-0.000	-0.003	-0.000
			(0.001)	(0.016)	(0.002)		(0.004)	(0.017)	(0.001)		(0.004)	(0.017)	(0.002)		(0.004)	(0.018)	(0.001)
_Icountryc_3	countryc==3		0.007	0.030	-0.012		0.010	0.023	-0.009		0.010	0.017	-0.007		0.011	0.033	-0.013
			(0.008)	(0.022)	(0.010)		(0.008)	(0.023)	(0.010)		(0.009)	(0.023)	(0.010)		(0.009)	(0.025)	(0.011)
_Icountryc_4	countryc==4		-0.007	0.013	0.006		-0.009	0.012	0.006		-0.008	0.013	0.007		-0.006	0.013	0.007
			(0.007)	(0.015)	(0.007)		(0.008)	(0.014)	(0.008)		(0.008)	(0.015)	(0.008)		(0.007)	(0.015)	(0.008)
_Icountryc_5	countryc==5		0.005	0.009	-0.001		0.007	0.006	-0.001		0.008	0.009	-0.001		0.008	0.014	-0.002
			(0.007)	(0.020)	(0.003)		(0.009)	(0.020)	(0.003)		(0.010)	(0.021)	(0.003)		(0.010)	(0.021)	(0.004)
_Icountryc_6	countryc==6		0.027*	0.009	-0.003		0.016*	-0.004	0.002		0.020*	-0.006	0.002		0.021*	0.009	-0.004
			(0.014)	(0.021)	(0.007)		(0.010)	(0.022)	(0.008)		(0.011)	(0.024)	(0.009)		(0.012)	(0.024)	(0.009)
_Icountryc_7	countryc==7		-0.009	0.035	0.007		-0.005	0.017	0.002		-0.007	0.004	0.001		-0.005	0.004	0.001
			(0.008)	(0.027)	(0.007)		(0.006)	(0.027)	(0.004)		(0.007)	(0.025)	(0.006)		(0.006)	(0.027)	(0.006)
_Icountryc_8	countryc==8		-0.008	0.009	0.004		-0.002	0.013	0.007		-0.002	0.010	0.005		-0.003	0.014	0.007
			(0.008)	(0.015)	(0.008)		(0.007)	(0.015)	(0.008)		(0.007)	(0.016)	(0.008)		(0.007)	(0.016)	(0.009)
_Icountryc_9	countryc==9		-0.003	0.005	0.001		-0.007	0.002	0.000		-0.005	-0.001	-0.000		-0.005	-0.001	-0.000
			(0.004)	(0.017)	(0.003)		(0.007)	(0.016)	(0.004)		(0.007)	(0.017)	(0.003)		(0.006)	(0.017)	(0.003)
_Icountryc_10	countryc==10		0.009	0.012	-0.004		0.012	0.006	-0.002		0.013	0.010	-0.003		0.013	0.018	-0.006
			(0.008)	(0.024)	(0.008)		(0.008)	(0.023)	(0.007)		(0.009)	(0.024)	(0.008)		(0.009)	(0.024)	(0.008)
_Icountryc_11	countryc==11		-0.003	0.004	0.000		-0.002	0.009	0.001		-0.002	0.006	0.000		-0.002	0.010	0.000
			(0.008)	(0.015)	(0.002)		(0.006)	(0.015)	(0.002)		(0.007)	(0.016)	(0.002)		(0.007)	(0.016)	(0.002)
_Icountryc_12	countryc==12		-0.020	0.057	-0.042		0.061**	0.022	-0.016		0.048*	0.011	-0.008		0.046*	0.022	-0.016
			(0.020)	(0.035)	(0.026)		(0.026)	(0.041)	(0.030)		(0.026)	(0.042)	(0.030)		(0.026)	(0.043)	(0.031)
_Icountryc_13	countryc==13		-0.016	0.012	0.004		-0.018	0.017	0.005		-0.019	0.007	0.002		-0.020	0.020	0.006
			(0.012)	(0.037)	(0.011)		(0.012)	(0.036)	(0.011)		(0.012)	(0.038)	(0.011)		(0.013)	(0.039)	(0.012)
group_1		10.601***				10.601***				10.597***				10.599***			
		(0.029)				(0.029)				(0.029)				(0.030)			
group_2		10.537***				10.542***				10.540***				10.540***			
		(0.038)				(0.039)				(0.040)				(0.040)			
difference		0.064				0.059				0.057				0.058			
		(0.048)				(0.048)				(0.049)				(0.050)			
endowments		0.002				0.029				0.027				0.016			
		(0.027)				(0.029)				(0.032)				(0.033)			
coefficients		0.129***				0.074				0.068				0.067			
		(0.048)				(0.047)				(0.048)				(0.049)			
interaction		-0.067**				-0.044				-0.039				-0.025			
		(0.029)				(0.030)				(0.032)				(0.034)			
Constant	Constant			-0.370				-1.976*				-1.223				-2.042	
				(0.275)				(1.185)				(1.252)				(1.290)	
																	
Observations		1,889	1,889	1,889	1,889	1,856	1,856	1,856	1,856	1,821	1,821	1,821	1,821	1,820	1,820	1,820	1,820
Country FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Sector FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Standard errors in parentheses																	
*** p<0.01, ** p<0.05, * p<0.1																	
