		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	LABELS	Access to finance	Access to finance	Access to finance	Access to finance	Electricity	Electricity	Electricity	Electricity	Political environment	Political environment	Political environment	Political environment	Tax administration	Tax administration	Tax administration	Tax administration
																	
tfem	Female Top Manager	-0.050	-0.025	-0.016	-0.028	-0.020	-0.038	-0.043	-0.051	0.166**	0.197**	0.152*	0.292*	-0.109*	-0.112	-0.154*	0.000
		(0.068)	(0.072)	(0.086)	(0.131)	(0.071)	(0.076)	(0.089)	(0.154)	(0.075)	(0.078)	(0.090)	(0.158)	(0.065)	(0.069)	(0.083)	(0.127)
lnwagem12d	Ln Average Manager Wages in 2012	-0.355***	-0.334***	-0.413***	-0.218	-0.027	-0.001	0.013	-0.078	0.136*	0.125	0.042	0.197	0.023	-0.008	-0.086	0.084
		(0.080)	(0.084)	(0.107)	(0.135)	(0.084)	(0.091)	(0.116)	(0.151)	(0.077)	(0.083)	(0.104)	(0.139)	(0.072)	(0.077)	(0.101)	(0.114)
edumanmin	Minimum education level of the manager, 1-8	0.057	0.017	0.001	0.037	-0.004	-0.003	-0.102*	0.135	0.060	0.048	0.027	0.072	0.052	0.039	-0.041	0.148**
		(0.043)	(0.045)	(0.059)	(0.073)	(0.045)	(0.049)	(0.060)	(0.086)	(0.044)	(0.047)	(0.060)	(0.072)	(0.040)	(0.044)	(0.059)	(0.063)
edumanav	Average education level of the manager, 1-8	-0.038	-0.029	-0.030	-0.021	0.005	-0.009	-0.020	0.017	-0.034	-0.036	-0.025	-0.056	-0.032	-0.027	-0.034	-0.009
		(0.023)	(0.024)	(0.030)	(0.040)	(0.027)	(0.028)	(0.034)	(0.051)	(0.027)	(0.027)	(0.034)	(0.048)	(0.024)	(0.026)	(0.032)	(0.042)
expsec	years of experience in the same sector	0.000	0.001	0.001	-0.001	0.005*	0.005	0.004	0.005	0.004	0.004	0.005	0.002	-0.003	-0.002	-0.004	0.000
